Txn Date,Description,Amount (INR),Type,Category
26-02-2026,Reliance Traders PYMT REF5506,"₹21,193.36",CR,Salary 
22-03-2026,Om Distributors PYMT REF7912,3185.64,CR,purchase
01-04-2026,Om Distributors PYMT REF4257,"(61,003.66)",CR,rent
11/03/2026,Metro Logistics PYMT REF1106,"₹64,619.22",DR,utilities
2026/05/29,Sunrise Electricals PYMT REF6514,"(9,136.77)",CR,utilities
12/05/2026,Metro Logistics PYMT REF1711,62162.34,DR,Sales
20/03/2026,Metro Logistics PYMT REF6925,49286.26,CR,Salary 
11/06/2026,Reliance Traders PYMT REF4814,"(73,717.87)",DR,rent
27/02/2026,Sunrise Electricals PYMT REF7065,"30,520.37",CR,salary
2026/02/27,Om Distributors PYMT REF5010,"(14,307.51)",DR,Salary 
2026/02/13,Shree Hardware PYMT REF6313,71720.99,CR,sales
"May 20, 2026",Kirti Enterprises PYMT REF2084,"18,328.05",CR,Salary 
"Apr 03, 2026",Shree Hardware PYMT REF8517,"₹12,572.65",CR,
18/03/2026,Shree Hardware PYMT REF8019,"(76,366.03)",DR,purchase
"Jul 04, 2026",Reliance Traders PYMT REF1771,"₹73,263.20",CR,
"Feb 15, 2026",Om Distributors PYMT REF2040,"(33,012.84)",DR,Rent
06-08-2026,Shree Hardware PYMT REF9797,"63,949.17",CR,Purchase
2026/04/19,Bharat Supplies PYMT REF1053,"81,097.45",CR,Rent
12/07/2026,Metro Logistics PYMT REF9317,"₹51,957.98",DR,
28-06-2026,Om Distributors PYMT REF6310,41787.18,DR,
2026/05/22,Reliance Traders PYMT REF4946,74691.81,CR,
06-04-2026,Metro Logistics PYMT REF9727,"₹65,213.01",DR,Rent
27/06/2026,Om Distributors PYMT REF7932,"₹81,988.67",DR,Utilties
18/02/2026,Bharat Supplies PYMT REF9479,"₹38,650.58",CR,Sales
14-05-2026,Om Distributors PYMT REF4770,50223.19,CR,
28-02-2026,Sunrise Electricals PYMT REF2104,"77,007.99",CR,Rent
09/06/2026,Shree Hardware PYMT REF8953,"₹18,603.01",DR,purchase
"Apr 09, 2026",Sunrise Electricals PYMT REF2545,"(8,690.65)",DR,Utilties
"Apr 25, 2026",Metro Logistics PYMT REF1887,57399.3,CR,Utilties
14-05-2026,Sunrise Electricals PYMT REF4139,"(16,572.65)",CR,Utilties
23/06/2026,Bharat Supplies PYMT REF5092,74394.06,DR,
21-03-2026,Reliance Traders PYMT REF9856,71144.33,CR,SALES
